i a           b           c           F           
0 -2.5625e+12 20500000  -20500000 22500
290 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
291 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
292 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
293 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
294 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
295 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
296 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
297 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
298 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
299 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
300 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
301 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
302 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
303 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
304 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
305 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
306 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
307 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
308 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
309 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
310 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
311 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
312 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
313 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
314 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
315 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
316 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
317 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
318 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
319 -2.5625e+12 5.125000108e+12  -2.5625e+12 2160000
